Account,University of Greenwich,From,01/04/2023,,,,,,,,,,,,,
Customer,University of Greenwich,To,01/04/2025,,,,,,,,,,,,,
Location,University of Greenwich,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Bronte Building Water [m設 [Bronte],Dome/Tudor Water [m設 [The Dome],Fry Building Water [m設 [Fry],Fussey Water [m設 [David Fussey],Grey Building Water [m設 [Grey],Library Water [m設 [Library],Seacole Water [m設 [Mary Seacole],Southwood House Water [m設 [Southwood House],WM15 Ambient Loop Make up Water [m設 [Central Plantroom],WM2 Energy Centre Main Incoming Water [m設 [Central Plantroom],WM4 Southwood and Fussey Make up Water [m設 [Central Plantroom],WM5.1 Fry Building Heating Make up Water [m設 [Fry],WM5 Fry Building Heating Make up Water Incoming [m設 [Fry],WM6 Grey Heating System Make up Water [m設 [Grey],WM7 Bronte Heating System Make up Water [m設 [Bronte]
,TOTAL,581.17,"14,793.50","1,151.11","1,453.67",421.71,"6,98,73,408.57",898.62,408.31,0.23,2.69,0.00,2.28,2.52,0.17,0.33
,AVERAGE,0.02,0.42,0.05,0.04,0.01,"1,991.38",0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MEDIAN,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,MAX,0.50,1.68,743.22,4.18,0.39,"1,57,000.00",0.58,0.36,0.02,0.25,0.00,0.23,0.24,0.02,0.05
,MIN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Bronte Building Water [m設 [Bronte],Dome/Tudor Water [m設 [The Dome],Fry Building Water [m設 [Fry],Fussey Water [m設 [David Fussey],Grey Building Water [m設 [Grey],Library Water [m設 [Library],Seacole Water [m設 [Mary Seacole],Southwood House Water [m設 [Southwood House],WM15 Ambient Loop Make up Water [m設 [Central Plantroom],WM2 Energy Centre Main Incoming Water [m設 [Central Plantroom],WM4 Southwood and Fussey Make up Water [m設 [Central Plantroom],WM5.1 Fry Building Heating Make up Water [m設 [Fry],WM5 Fry Building Heating Make up Water Incoming [m設 [Fry],WM6 Grey Heating System Make up Water [m設 [Grey],WM7 Bronte Heating System Make up Water [m設 [Bronte]
01-04-2023,00:00,0.00,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
01-04-2023,00:30,0.00,0.00,,0.52,0.00,"1,000.00",0.00,0.00,,,,,,,
01-04-2023,01:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,01:30,0.00,0.00,,0.00,0.00,"1,000.00",0.00,0.00,,,,,,,
01-04-2023,02:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,02:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,03:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,03:30,0.00,0.00,,0.00,0.00,0.00,0.02,0.00,,,,,,,
01-04-2023,04:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,04:30,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,05:00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,,,,,,
01-04-2023,05:30,0.00,0.00,,0.00,0.01,0.00,0.00,0.00,,,,,,,
